contest,pref_voter_id,serial_number,tally,precinct,vote_rank,candidate,over_vote,under_vote
"Member, City Council, Dist. 6 - Berkeley (RCV)",000012020,0000003,Vote by Mail - 400C,201300,3,ISABELLE GASTON,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000012021,0000003,Vote by Mail - 400C,201300,1,SUSAN WENGRAF,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000012021,0000003,Vote by Mail - 400C,201300,2,FRED DODSWORTH,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000012021,0000003,Vote by Mail - 400C,201300,3,ISABELLE GASTON,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000012022,0000003,Vote by Mail - 400C,201300,1,SUSAN WENGRAF,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000012022,0000003,Vote by Mail - 400C,201300,2,FRED DODSWORTH,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000012022,0000003,Vote by Mail - 400C,201300,3,ISABELLE GASTON,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000012023,0000003,Vote by Mail - 400C,201300,1,SUSAN WENGRAF,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000012023,0000003,Vote by Mail - 400C,201300,2,FRED DODSWORTH,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000012023,0000003,Vote by Mail - 400C,201300,3,NA,0,1
"Member, City Council, Dist. 6 - Berkeley (RCV)",000012024,0000003,Vote by Mail - 400C,201300,1,SUSAN WENGRAF,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000012024,0000003,Vote by Mail - 400C,201300,2,NA,0,1
"Member, City Council, Dist. 6 - Berkeley (RCV)",000012024,0000003,Vote by Mail - 400C,201300,3,NA,0,1
"Member, City Council, Dist. 6 - Berkeley (RCV)",000012025,0000003,Vote by Mail - 400C,201300,1,SUSAN WENGRAF,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000012025,0000003,Vote by Mail - 400C,201300,2,NA,0,1
"Member, City Council, Dist. 6 - Berkeley (RCV)",000012025,0000003,Vote by Mail - 400C,201300,3,NA,0,1
"Member, City Council, Dist. 6 - Berkeley (RCV)",000012026,0000003,Vote by Mail - 400C,201300,1,NA,0,1
"Member, City Council, Dist. 6 - Berkeley (RCV)",000012026,0000003,Vote by Mail - 400C,201300,2,NA,0,1
"Member, City Council, Dist. 6 - Berkeley (RCV)",000012026,0000003,Vote by Mail - 400C,201300,3,NA,0,1
"Member, City Council, Dist. 6 - Berkeley (RCV)",000012027,0000003,Vote by Mail - 400C,201300,1,SUSAN WENGRAF,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000012027,0000003,Vote by Mail - 400C,201300,2,NA,0,1
"Member, City Council, Dist. 6 - Berkeley (RCV)",000012027,0000003,Vote by Mail - 400C,201300,3,NA,0,1
"Member, City Council, Dist. 6 - Berkeley (RCV)",000012028,0000003,Vote by Mail - 400C,201300,1,ISABELLE GASTON,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000012028,0000003,Vote by Mail - 400C,201300,2,FRED DODSWORTH,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000012028,0000003,Vote by Mail - 400C,201300,3,SUSAN WENGRAF,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000012029,0000003,Vote by Mail - 400C,201300,1,ISABELLE GASTON,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000012029,0000003,Vote by Mail - 400C,201300,2,SUSAN WENGRAF,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000012029,0000003,Vote by Mail - 400C,201300,3,SUSAN WENGRAF,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000012030,0000003,Vote by Mail - 400C,201300,1,SUSAN WENGRAF,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000012030,0000003,Vote by Mail - 400C,201300,2,NA,0,1
"Member, City Council, Dist. 6 - Berkeley (RCV)",000012030,0000003,Vote by Mail - 400C,201300,3,FRED DODSWORTH,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000012031,0000003,Vote by Mail - 400C,201300,1,SUSAN WENGRAF,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000012031,0000003,Vote by Mail - 400C,201300,2,FRED DODSWORTH,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000012031,0000003,Vote by Mail - 400C,201300,3,SUSAN WENGRAF,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000012032,0000003,Vote by Mail - 400C,201300,1,ISABELLE GASTON,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000012032,0000003,Vote by Mail - 400C,201300,2,ISABELLE GASTON,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000012032,0000003,Vote by Mail - 400C,201300,3,ISABELLE GASTON,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000012033,0000003,Vote by Mail - 400C,201300,1,FRED DODSWORTH,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000012033,0000003,Vote by Mail - 400C,201300,2,SUSAN WENGRAF,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000012033,0000003,Vote by Mail - 400C,201300,3,ISABELLE GASTON,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000012034,0000003,Vote by Mail - 400C,201300,1,SUSAN WENGRAF,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000012034,0000003,Vote by Mail - 400C,201300,2,FRED DODSWORTH,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000012034,0000003,Vote by Mail - 400C,201300,3,ISABELLE GASTON,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000012035,0000003,Vote by Mail - 400C,201300,1,ISABELLE GASTON,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000012035,0000003,Vote by Mail - 400C,201300,2,SUSAN WENGRAF,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000012035,0000003,Vote by Mail - 400C,201300,3,FRED DODSWORTH,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000012036,0000003,Vote by Mail - 400C,201300,1,ISABELLE GASTON,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000012036,0000003,Vote by Mail - 400C,201300,2,SUSAN WENGRAF,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000012036,0000003,Vote by Mail - 400C,201300,3,FRED DODSWORTH,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000012037,0000003,Vote by Mail - 400C,201300,1,SUSAN WENGRAF,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000012037,0000003,Vote by Mail - 400C,201300,2,FRED DODSWORTH,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000012037,0000003,Vote by Mail - 400C,201300,3,ISABELLE GASTON,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000012038,0000003,Vote by Mail - 400C,201300,1,SUSAN WENGRAF,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000012038,0000003,Vote by Mail - 400C,201300,2,SUSAN WENGRAF,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000012038,0000003,Vote by Mail - 400C,201300,3,SUSAN WENGRAF,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000012039,0000003,Vote by Mail - 400C,201300,1,FRED DODSWORTH,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000012039,0000003,Vote by Mail - 400C,201300,2,SUSAN WENGRAF,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000012039,0000003,Vote by Mail - 400C,201300,3,ISABELLE GASTON,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000012040,0000003,Vote by Mail - 400C,201300,1,NA,0,1
"Member, City Council, Dist. 6 - Berkeley (RCV)",000012040,0000003,Vote by Mail - 400C,201300,2,NA,0,1
"Member, City Council, Dist. 6 - Berkeley (RCV)",000012040,0000003,Vote by Mail - 400C,201300,3,NA,0,1
"Member, City Council, Dist. 6 - Berkeley (RCV)",000012041,0000003,Vote by Mail - 400C,201300,1,SUSAN WENGRAF,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000012041,0000003,Vote by Mail - 400C,201300,2,FRED DODSWORTH,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000012041,0000003,Vote by Mail - 400C,201300,3,ISABELLE GASTON,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000012042,0000003,Vote by Mail - 400C,201300,1,SUSAN WENGRAF,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000012042,0000003,Vote by Mail - 400C,201300,2,ISABELLE GASTON,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000012042,0000003,Vote by Mail - 400C,201300,3,FRED DODSWORTH,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000012043,0000003,Vote by Mail - 400C,201300,1,SUSAN WENGRAF,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000012043,0000003,Vote by Mail - 400C,201300,2,NA,0,1
"Member, City Council, Dist. 6 - Berkeley (RCV)",000012043,0000003,Vote by Mail - 400C,201300,3,NA,0,1
"Member, City Council, Dist. 6 - Berkeley (RCV)",000012044,0000003,Vote by Mail - 400C,201300,1,SUSAN WENGRAF,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000012044,0000003,Vote by Mail - 400C,201300,2,FRED DODSWORTH,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000012044,0000003,Vote by Mail - 400C,201300,3,ISABELLE GASTON,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000012045,0000003,Vote by Mail - 400C,201300,1,SUSAN WENGRAF,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000012045,0000003,Vote by Mail - 400C,201300,2,FRED DODSWORTH,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000012045,0000003,Vote by Mail - 400C,201300,3,SUSAN WENGRAF,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000015575,0000004,Vote by Mail - 400C,200100,1,SUSAN WENGRAF,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000015575,0000004,Vote by Mail - 400C,200100,2,ISABELLE GASTON,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000015575,0000004,Vote by Mail - 400C,200100,3,FRED DODSWORTH,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000015576,0000004,Vote by Mail - 400C,200100,1,SUSAN WENGRAF,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000015576,0000004,Vote by Mail - 400C,200100,2,ISABELLE GASTON,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000015576,0000004,Vote by Mail - 400C,200100,3,FRED DODSWORTH,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000015577,0000004,Vote by Mail - 400C,200100,1,ISABELLE GASTON,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000015577,0000004,Vote by Mail - 400C,200100,2,FRED DODSWORTH,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000015577,0000004,Vote by Mail - 400C,200100,3,ISABELLE GASTON,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000015578,0000004,Vote by Mail - 400C,200100,1,ISABELLE GASTON,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000015578,0000004,Vote by Mail - 400C,200100,2,ISABELLE GASTON,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000015578,0000004,Vote by Mail - 400C,200100,3,FRED DODSWORTH,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000015579,0000004,Vote by Mail - 400C,200100,1,SUSAN WENGRAF,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000015579,0000004,Vote by Mail - 400C,200100,2,NA,0,1
"Member, City Council, Dist. 6 - Berkeley (RCV)",000015579,0000004,Vote by Mail - 400C,200100,3,NA,0,1
"Member, City Council, Dist. 6 - Berkeley (RCV)",000015580,0000004,Vote by Mail - 400C,200100,1,FRED DODSWORTH,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000015580,0000004,Vote by Mail - 400C,200100,2,ISABELLE GASTON,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000015580,0000004,Vote by Mail - 400C,200100,3,SUSAN WENGRAF,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000015581,0000004,Vote by Mail - 400C,200100,1,NA,0,1
"Member, City Council, Dist. 6 - Berkeley (RCV)",000015581,0000004,Vote by Mail - 400C,200100,2,NA,0,1
"Member, City Council, Dist. 6 - Berkeley (RCV)",000015581,0000004,Vote by Mail - 400C,200100,3,NA,0,1
"Member, City Council, Dist. 6 - Berkeley (RCV)",000015582,0000004,Vote by Mail - 400C,200100,1,SUSAN WENGRAF,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000015582,0000004,Vote by Mail - 400C,200100,2,NA,0,1
"Member, City Council, Dist. 6 - Berkeley (RCV)",000015582,0000004,Vote by Mail - 400C,200100,3,NA,0,1
"Member, City Council, Dist. 6 - Berkeley (RCV)",000015583,0000004,Vote by Mail - 400C,200100,1,FRED DODSWORTH,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000015583,0000004,Vote by Mail - 400C,200100,2,ISABELLE GASTON,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000015583,0000004,Vote by Mail - 400C,200100,3,SUSAN WENGRAF,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000015584,0000004,Vote by Mail - 400C,200100,1,SUSAN WENGRAF,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000015584,0000004,Vote by Mail - 400C,200100,2,FRED DODSWORTH,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000015584,0000004,Vote by Mail - 400C,200100,3,ISABELLE GASTON,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000015585,0000004,Vote by Mail - 400C,200100,1,FRED DODSWORTH,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000015585,0000004,Vote by Mail - 400C,200100,2,FRED DODSWORTH,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000015585,0000004,Vote by Mail - 400C,200100,3,FRED DODSWORTH,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000015586,0000004,Vote by Mail - 400C,200100,1,NA,0,1
"Member, City Council, Dist. 6 - Berkeley (RCV)",000015586,0000004,Vote by Mail - 400C,200100,2,NA,0,1
"Member, City Council, Dist. 6 - Berkeley (RCV)",000015586,0000004,Vote by Mail - 400C,200100,3,NA,0,1
"Member, City Council, Dist. 6 - Berkeley (RCV)",000015587,0000004,Vote by Mail - 400C,200100,1,ISABELLE GASTON,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000015587,0000004,Vote by Mail - 400C,200100,2,SUSAN WENGRAF,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000015587,0000004,Vote by Mail - 400C,200100,3,NA,0,1
"Member, City Council, Dist. 6 - Berkeley (RCV)",000015588,0000004,Vote by Mail - 400C,200100,1,ISABELLE GASTON,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000015588,0000004,Vote by Mail - 400C,200100,2,SUSAN WENGRAF,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000015588,0000004,Vote by Mail - 400C,200100,3,FRED DODSWORTH,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000015589,0000004,Vote by Mail - 400C,200100,1,SUSAN WENGRAF,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000015589,0000004,Vote by Mail - 400C,200100,2,ISABELLE GASTON,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000015589,0000004,Vote by Mail - 400C,200100,3,FRED DODSWORTH,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000015590,0000004,Vote by Mail - 400C,200100,1,ISABELLE GASTON,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000015590,0000004,Vote by Mail - 400C,200100,2,SUSAN WENGRAF,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000015590,0000004,Vote by Mail - 400C,200100,3,SUSAN WENGRAF,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000015591,0000004,Vote by Mail - 400C,200100,1,FRED DODSWORTH,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000015591,0000004,Vote by Mail - 400C,200100,2,SUSAN WENGRAF,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000015591,0000004,Vote by Mail - 400C,200100,3,ISABELLE GASTON,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000015592,0000004,Vote by Mail - 400C,200100,1,SUSAN WENGRAF,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000015592,0000004,Vote by Mail - 400C,200100,2,ISABELLE GASTON,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000015592,0000004,Vote by Mail - 400C,200100,3,NA,0,1
"Member, City Council, Dist. 6 - Berkeley (RCV)",000015593,0000004,Vote by Mail - 400C,200100,1,ISABELLE GASTON,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000015593,0000004,Vote by Mail - 400C,200100,2,SUSAN WENGRAF,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000015593,0000004,Vote by Mail - 400C,200100,3,FRED DODSWORTH,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000015594,0000004,Vote by Mail - 400C,200100,1,SUSAN WENGRAF,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000015594,0000004,Vote by Mail - 400C,200100,2,ISABELLE GASTON,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000015594,0000004,Vote by Mail - 400C,200100,3,FRED DODSWORTH,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000015595,0000004,Vote by Mail - 400C,200100,1,ISABELLE GASTON,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000015595,0000004,Vote by Mail - 400C,200100,2,SUSAN WENGRAF,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000015595,0000004,Vote by Mail - 400C,200100,3,NA,0,1
"Member, City Council, Dist. 6 - Berkeley (RCV)",000015596,0000004,Vote by Mail - 400C,200100,1,NA,0,1
"Member, City Council, Dist. 6 - Berkeley (RCV)",000015596,0000004,Vote by Mail - 400C,200100,2,NA,0,1
"Member, City Council, Dist. 6 - Berkeley (RCV)",000015596,0000004,Vote by Mail - 400C,200100,3,NA,0,1
"Member, City Council, Dist. 6 - Berkeley (RCV)",000015597,0000004,Vote by Mail - 400C,200100,1,SUSAN WENGRAF,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000015597,0000004,Vote by Mail - 400C,200100,2,FRED DODSWORTH,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000015597,0000004,Vote by Mail - 400C,200100,3,NA,0,1
"Member, City Council, Dist. 6 - Berkeley (RCV)",000015598,0000004,Vote by Mail - 400C,200100,1,ISABELLE GASTON,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000015598,0000004,Vote by Mail - 400C,200100,2,SUSAN WENGRAF,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000015598,0000004,Vote by Mail - 400C,200100,3,FRED DODSWORTH,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000015599,0000004,Vote by Mail - 400C,200100,1,FRED DODSWORTH,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000015599,0000004,Vote by Mail - 400C,200100,2,ISABELLE GASTON,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000015599,0000004,Vote by Mail - 400C,200100,3,SUSAN WENGRAF,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000015600,0000004,Vote by Mail - 400C,200100,1,SUSAN WENGRAF,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000015600,0000004,Vote by Mail - 400C,200100,2,NA,0,1
"Member, City Council, Dist. 6 - Berkeley (RCV)",000015600,0000004,Vote by Mail - 400C,200100,3,NA,0,1
"Member, City Council, Dist. 6 - Berkeley (RCV)",000015601,0000004,Vote by Mail - 400C,200100,1,FRED DODSWORTH,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000015601,0000004,Vote by Mail - 400C,200100,2,ISABELLE GASTON,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000015601,0000004,Vote by Mail - 400C,200100,3,SUSAN WENGRAF,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000015602,0000004,Vote by Mail - 400C,200100,1,SUSAN WENGRAF,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000015602,0000004,Vote by Mail - 400C,200100,2,NA,0,1
"Member, City Council, Dist. 6 - Berkeley (RCV)",000015602,0000004,Vote by Mail - 400C,200100,3,NA,0,1
"Member, City Council, Dist. 6 - Berkeley (RCV)",000015603,0000004,Vote by Mail - 400C,200100,1,FRED DODSWORTH,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000015603,0000004,Vote by Mail - 400C,200100,2,SUSAN WENGRAF,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000015603,0000004,Vote by Mail - 400C,200100,3,NA,0,1
"Member, City Council, Dist. 6 - Berkeley (RCV)",000015604,0000004,Vote by Mail - 400C,200100,1,SUSAN WENGRAF,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000015604,0000004,Vote by Mail - 400C,200100,2,FRED DODSWORTH,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000015604,0000004,Vote by Mail - 400C,200100,3,ISABELLE GASTON,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000015605,0000004,Vote by Mail - 400C,200100,1,SUSAN WENGRAF,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000015605,0000004,Vote by Mail - 400C,200100,2,FRED DODSWORTH,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000015605,0000004,Vote by Mail - 400C,200100,3,ISABELLE GASTON,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000015606,0000004,Vote by Mail - 400C,200100,1,ISABELLE GASTON,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000015606,0000004,Vote by Mail - 400C,200100,2,SUSAN WENGRAF,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000015606,0000004,Vote by Mail - 400C,200100,3,FRED DODSWORTH,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000015607,0000004,Vote by Mail - 400C,200100,1,SUSAN WENGRAF,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000015607,0000004,Vote by Mail - 400C,200100,2,FRED DODSWORTH,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000015607,0000004,Vote by Mail - 400C,200100,3,ISABELLE GASTON,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000015608,0000004,Vote by Mail - 400C,200100,1,SUSAN WENGRAF,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000015608,0000004,Vote by Mail - 400C,200100,2,ISABELLE GASTON,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000015608,0000004,Vote by Mail - 400C,200100,3,FRED DODSWORTH,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000015609,0000004,Vote by Mail - 400C,200100,1,SUSAN WENGRAF,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000015609,0000004,Vote by Mail - 400C,200100,2,FRED DODSWORTH,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000015609,0000004,Vote by Mail - 400C,200100,3,ISABELLE GASTON,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000015610,0000004,Vote by Mail - 400C,200100,1,SUSAN WENGRAF,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000015610,0000004,Vote by Mail - 400C,200100,2,NA,0,1
"Member, City Council, Dist. 6 - Berkeley (RCV)",000015610,0000004,Vote by Mail - 400C,200100,3,NA,0,1
"Member, City Council, Dist. 6 - Berkeley (RCV)",000015611,0000004,Vote by Mail - 400C,200100,1,SUSAN WENGRAF,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000015611,0000004,Vote by Mail - 400C,200100,2,NA,0,1
"Member, City Council, Dist. 6 - Berkeley (RCV)",000015611,0000004,Vote by Mail - 400C,200100,3,NA,0,1
"Member, City Council, Dist. 6 - Berkeley (RCV)",000015612,0000004,Vote by Mail - 400C,200100,1,SUSAN WENGRAF,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000015612,0000004,Vote by Mail - 400C,200100,2,FRED DODSWORTH,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000015612,0000004,Vote by Mail - 400C,200100,3,ISABELLE GASTON,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000015613,0000004,Vote by Mail - 400C,200100,1,SUSAN WENGRAF,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000015613,0000004,Vote by Mail - 400C,200100,2,SUSAN WENGRAF,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000015613,0000004,Vote by Mail - 400C,200100,3,SUSAN WENGRAF,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000015614,0000004,Vote by Mail - 400C,200100,1,SUSAN WENGRAF,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000015614,0000004,Vote by Mail - 400C,200100,2,ISABELLE GASTON,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000015614,0000004,Vote by Mail - 400C,200100,3,FRED DODSWORTH,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000015615,0000004,Vote by Mail - 400C,200100,1,SUSAN WENGRAF,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000015615,0000004,Vote by Mail - 400C,200100,2,NA,0,1
"Member, City Council, Dist. 6 - Berkeley (RCV)",000015615,0000004,Vote by Mail - 400C,200100,3,NA,0,1
"Member, City Council, Dist. 6 - Berkeley (RCV)",000015616,0000004,Vote by Mail - 400C,200100,1,NA,0,1
"Member, City Council, Dist. 6 - Berkeley (RCV)",000015616,0000004,Vote by Mail - 400C,200100,2,NA,0,1
"Member, City Council, Dist. 6 - Berkeley (RCV)",000015616,0000004,Vote by Mail - 400C,200100,3,NA,0,1
"Member, City Council, Dist. 6 - Berkeley (RCV)",000015617,0000004,Vote by Mail - 400C,200100,1,ISABELLE GASTON,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000015617,0000004,Vote by Mail - 400C,200100,2,SUSAN WENGRAF,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000015617,0000004,Vote by Mail - 400C,200100,3,FRED DODSWORTH,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000015618,0000004,Vote by Mail - 400C,200100,1,ISABELLE GASTON,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000015618,0000004,Vote by Mail - 400C,200100,2,FRED DODSWORTH,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000015618,0000004,Vote by Mail - 400C,200100,3,NA,0,1
"Member, City Council, Dist. 6 - Berkeley (RCV)",000015619,0000004,Vote by Mail - 400C,200100,1,SUSAN WENGRAF,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000015619,0000004,Vote by Mail - 400C,200100,2,ISABELLE GASTON,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000015619,0000004,Vote by Mail - 400C,200100,3,FRED DODSWORTH,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000015620,0000004,Vote by Mail - 400C,200100,1,SUSAN WENGRAF,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000015620,0000004,Vote by Mail - 400C,200100,2,ISABELLE GASTON,0,0
